"ESTU_GENERO","ESTU_CONSECUTIVO","ESTU_TIENEETNIA","ESTU_DEPTO_RESIDE","ESTU_COD_RESIDE_DEPTO","FAMI_ESTRATOVIVIENDA","FAMI_EDUCACIONPADRE","FAMI_EDUCACIONMADRE","FAMI_TRABAJOLABORPADRE","FAMI_TRABAJOLABORMADRE","FAMI_NUMLIBROS","ESTU_DEDICACIONLECTURADIARIA","ESTU_DEDICACIONINTERNET","ESTU_HORASSEMANATRABAJA","COLE_NATURALEZA","COLE_BILINGUE","COLE_JORNADA","PUNT_LECTURA_CRITICA","PUNT_MATEMATICAS","PUNT_C_NATURALES","PUNT_SOCIALES_CIUDADANAS","PUNT_INGLES","PUNT_GLOBAL"
"F","SB11202040340937","No","HUILA",41,"Estrato 2","Educación profesional completa","Educación profesional completa","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","0","OFICIAL","N","COMPLETA",57,57,59,42,54,269
"M","SB11202040360606","No","ANTIOQUIA",5,"Estrato 3","Técnica o tecnológica completa","Técnica o tecnológica completa","Es operario de máquinas o conduce vehículos (taxita, chofer)","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","26 A 100 LIBROS","No leo por entretenimiento","Más de 3 horas","0","OFICIAL","N","MAÑANA",74,68,72,64,68,347
"M","SB11202040122120","Si","ATLANTICO",8,"Estrato 1","Primaria incompleta","Secundaria (Bachillerato) completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","0","OFICIAL",NA,"MAÑANA",50,54,51,50,44,253
"M","SB11202040139375","No","ANTIOQUIA",5,"Estrato 3","No sabe","No sabe","No sabe","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","Más de 2 horas","Más de 3 horas","0","NO OFICIAL","N","COMPLETA",66,70,76,67,77,352
"F","SB11202040221810","No","CUNDINAMARCA",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFICIAL","N","MAÑANA",69,76,44,61,38,303
"F","SB11202040471591","No","ATLANTICO",8,"Estrato 2","Técnica o tecnológica completa","Educación profesional completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","11 A 25 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","0","NO OFICIAL",NA,"MAÑANA",56,48,52,35,57,242
"M","SB11202040199274","No","BOGOTÁ",11,"Estrato 3","Secundaria (Bachillerato) completa","Técnica o tecnológica incompleta","No sabe","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","11 A 25 LIBROS","30 minutos o menos","Entre 1 y 3 horas","0","OFICIAL","N","UNICA",59,55,61,61,53,293
"F","SB11202040089507","No","CUNDINAMARCA",25,"Estrato 2","No sabe","Educación profesional completa","No sabe","No sabe","26 A 100 LIBROS","Más de 2 horas","Entre 1 y 3 horas","0","NO OFICIAL","S","COMPLETA",65,60,57,64,66,309
"F","SB11202040075921","Si","CAUCA",19,"Estrato 2","Primaria completa","Secundaria (Bachillerato) completa","Es vendedor o trabaja en atención al público","Es vendedor o trabaja en atención al público","11 A 25 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","0","OFICIAL",NA,"UNICA",44,48,51,35,48,224
"F","SB11202040022756","No","BOYACA",15,"Estrato 2","Primaria incompleta","Primaria completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","No leo por entretenimiento","Entre 30 y 60 minutos","0","OFICIAL","N","MAÑANA",66,63,52,60,59,301
"M","SB11202040305349","No","ANTIOQUIA",5,"Estrato 2","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","0 A 10 LIBROS","30 minutos o menos","Más de 3 horas","Más de 30 horas","OFICIAL","N","MAÑANA",45,48,34,25,35,189
"M","SB11202040183785","No","RISARALDA",66,"Estrato 3","Secundaria (Bachillerato) completa","No sabe","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","11 A 25 LIBROS","30 minutos o menos","Entre 1 y 3 horas","Entre 11 y 20 horas","OFICIAL",NA,"MAÑANA",45,39,38,36,36,196
"M","SB11202040073050","No","NORTE SANTANDER",54,"Estrato 3","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","No sabe","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","Entre 1 y 3 horas","0","NO OFICIAL","N","TARDE",54,62,59,49,44,275
"F","SB11202040429276","No","TOLIMA",73,"Estrato 2","Educación profesional incompleta","Educación profesional completa","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)",NA,"0 A 10 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","0","OFICIAL","N","UNICA",38,42,37,38,34,192
"F","SB11202040035521","No","ANTIOQUIA",5,"Estrato 1","Técnica o tecnológica completa","Técnica o tecnológica completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Es vendedor o trabaja en atención al público","0 A 10 LIBROS","No leo por entretenimiento","Entre 30 y 60 minutos","0","OFICIAL","N","MAÑANA",51,47,52,54,64,260
"F","SB11202040423603","No","BOYACA",15,"Estrato 2","Secundaria (Bachillerato) completa","Técnica o tecnológica completa","Trabaja en el hogar, no trabaja o estudia","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","11 A 25 LIBROS","Entre 30 y 60 minutos","Más de 3 horas","Entre 11 y 20 horas","OFICIAL","N","TARDE",62,55,54,62,48,287
"M","SB11202040150760","No","NORTE SANTANDER",54,"Estrato 2","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","30 minutos o menos","Entre 1 y 3 horas","0","OFICIAL","N","UNICA",49,56,58,55,59,274
"F","SB11202040399938","No","ATLANTICO",8,"Estrato 2","Técnica o tecnológica completa","Técnica o tecnológica completa","Es operario de máquinas o conduce vehículos (taxita, chofer)","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","11 A 25 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","OFICIAL","N","UNICA",45,56,60,58,60,276
"F","SB11202040072306","No","BOGOTÁ",11,"Estrato 3","Técnica o tecnológica completa","Primaria incompleta","Es operario de máquinas o conduce vehículos (taxita, chofer)","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","11 A 25 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","Menos de 10 horas","OFICIAL","N","MAÑANA",51,58,44,55,39,255
"M","SB11202040410422","No","VALLE",76,"Estrato 2","Primaria completa","Primaria incompleta","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","No leo por entretenimiento","Entre 30 y 60 minutos","Menos de 10 horas","OFICIAL","N","MAÑANA",58,55,51,52,54,270
"F","SB11202040223775","No","ATLANTICO",8,"Estrato 2","Secundaria (Bachillerato) completa","Postgrado","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","Más de 2 horas","Más de 3 horas","0","OFICIAL","N","UNICA",59,55,48,51,39,261
"F","SB11202040254044","No","ATLANTICO",8,"Estrato 2","No sabe","Secundaria (Bachillerato) incompleta","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja por cuenta propia (por ejemplo plomero, electricista)","0 A 10 LIBROS","Más de 2 horas","Más de 3 horas","0","NO OFICIAL",NA,"MAÑANA",59,66,59,67,81,321
"M","SB11202040043166","No","TOLIMA",73,"Estrato 2","Secundaria (Bachillerato) incompleta","Primaria incompleta","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja por cuenta propia (por ejemplo plomero, electricista)","11 A 25 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","Menos de 10 horas","OFICIAL","N","UNICA",54,52,56,63,42,276
"F","SB11202040452168","No","CORDOBA",23,"Estrato 2","Educación profesional completa","Secundaria (Bachillerato) completa","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","NO OFICIAL","N","MAÑANA",45,53,53,45,51,246
"F","SB11202040211941","No","MAGDALENA",47,"Estrato 3",NA,NA,"Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","11 A 25 LIBROS","Entre 1 y 2 horas","30 minutos o menos","0","NO OFICIAL",NA,"MAÑANA",51,40,42,44,40,220
"M","SB11202040373246","No","ATLANTICO",8,"Estrato 2","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","11 A 25 LIBROS","Entre 30 y 60 minutos","No Navega Internet","Entre 21 y 30 horas","NO OFICIAL","N","UNICA",34,47,38,31,47,191
"M","SB11202040483307","No","ANTIOQUIA",5,"Estrato 3","Primaria completa","Secundaria (Bachillerato) completa","Es operario de máquinas o conduce vehículos (taxita, chofer)","Es operario de máquinas o conduce vehículos (taxita, chofer)","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","0","OFICIAL","N","MAÑANA",66,52,66,64,73,314
"M","SB11202040108527","No","BOGOTÁ",11,"Estrato 2","Primaria completa","Secundaria (Bachillerato) completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","No leo por entretenimiento","Más de 3 horas","0","NO OFICIAL",NA,"COMPLETA",60,66,65,57,57,308
"F","SB11202040232906","No","VALLE",76,"Estrato 3","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Es vendedor o trabaja en atención al público","0 A 10 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","0","NO OFICIAL","N","MAÑANA",45,37,46,40,58,216
"F","SB11202040327546","No","CORDOBA",23,"Estrato 1","Secundaria (Bachillerato) completa","Primaria incompleta","Pensionado","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","0 A 10 LIBROS","30 minutos o menos","Más de 3 horas","0","OFICIAL","N","MAÑANA",49,50,42,34,49,221
"M","SB11202040075076","No","BOYACA",15,"Estrato 2","Secundaria (Bachillerato) completa","Primaria incompleta","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","Entre 1 y 2 horas","Más de 3 horas","Entre 21 y 30 horas","OFICIAL","S","UNICA",33,41,44,37,36,193
"M","SB11202040240409","No","PUTUMAYO",86,"Estrato 2","Secundaria (Bachillerato) incompleta","Primaria completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","Menos de 10 horas","OFICIAL","S","MAÑANA",60,59,58,46,52,277
"F","SB11202040024285","No","SANTANDER",68,"Estrato 2","Primaria incompleta","Primaria completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","Más de 2 horas","Más de 3 horas","0","OFICIAL","N","MAÑANA",69,68,56,58,62,313
"F","SB11202040524460","No","CASANARE",85,"Estrato 2","Ninguno","Primaria completa","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","Entre 1 y 2 horas","Más de 3 horas","Entre 21 y 30 horas","OFICIAL","N","MAÑANA",53,59,42,40,31,236
"F","SB11202040200559","No","BOGOTÁ",11,"Estrato 4","Educación profesional incompleta","Educación profesional completa","Es vendedor o trabaja en atención al público","Es vendedor o trabaja en atención al público","26 A 100 LIBROS","30 minutos o menos","Entre 1 y 3 horas","0","OFICIAL",NA,"TARDE",72,70,63,68,76,344
"F","SB11202040257866","No","NORTE SANTANDER",54,"Estrato 2","Primaria incompleta","Técnica o tecnológica completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","OFICIAL","N","UNICA",44,48,47,45,41,228
"F","SB11202040352293","No","LA GUAJIRA",44,"Estrato 2",NA,"Secundaria (Bachillerato) completa","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","NO OFICIAL",NA,"MAÑANA",62,55,53,50,46,272
"M","SB11202040442507","No","BOYACA",15,"Estrato 1","Ninguno","Secundaria (Bachillerato) completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","0 A 10 LIBROS","30 minutos o menos","Más de 3 horas","Entre 11 y 20 horas","OFICIAL","N","UNICA",58,56,58,62,40,285
"F","SB11202040308534","No","ANTIOQUIA",5,"Estrato 1","Primaria completa","Secundaria (Bachillerato) completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es operario de máquinas o conduce vehículos (taxita, chofer)","0 A 10 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","0","OFICIAL",NA,"UNICA",55,53,53,56,45,268
"F","SB11202040123945","No","ANTIOQUIA",5,"Estrato 2","Primaria incompleta","Secundaria (Bachillerato) completa","Pensionado","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","11 A 25 LIBROS","No leo por entretenimiento","Más de 3 horas","Más de 30 horas","OFICIAL","N","UNICA",52,45,35,45,33,217
"M","SB11202040388766","No","CALDAS",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFICIAL","N","UNICA",54,64,59,56,49,288
"F","SB11202040307796","No","BOGOTÁ",11,"Estrato 2","Técnica o tecnológica completa","Educación profesional completa","Es operario de máquinas o conduce vehículos (taxita, chofer)","Trabaja en el hogar, no trabaja o estudia","MÁS DE 100 LIBROS","No leo por entretenimiento","30 minutos o menos","0","NO OFICIAL","N","COMPLETA",57,68,59,55,60,299
"F","SB11202040259689","No","CORDOBA",23,"Estrato 3","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","Es operario de máquinas o conduce vehículos (taxita, chofer)","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","0 A 10 LIBROS","Más de 2 horas","Más de 3 horas","0","OFICIAL","N","MAÑANA",53,50,46,50,44,247
"F","SB11202040120692","No","ANTIOQUIA",5,"Estrato 2","Educación profesional completa","Postgrado","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","26 A 100 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","OFICIAL","N","COMPLETA",69,62,64,70,68,332
"F","SB11202040271894","No","ANTIOQUIA",5,"Estrato 3","Secundaria (Bachillerato) completa","Educación profesional incompleta","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","Entre 1 y 2 horas","Entre 1 y 3 horas","0","OFICIAL",NA,"MAÑANA",55,42,43,35,43,218
"M","SB11202040493871","No","NORTE SANTANDER",54,"Estrato 3","Educación profesional completa","Educación profesional completa","No sabe","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","26 A 100 LIBROS","Entre 1 y 2 horas","Entre 1 y 3 horas","0","OFICIAL","N","UNICA",55,57,52,53,37,265
"F","SB11202040561296","No","CESAR",20,"Sin Estrato","Primaria incompleta","Primaria incompleta",NA,"Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","Entre 1 y 3 horas","Más de 30 horas","OFICIAL","N","NOCHE",35,24,40,35,46,172
"M","SB11202040441685","No","BOYACA",15,"Estrato 2","Primaria completa","Secundaria (Bachillerato) incompleta","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","0 A 10 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","OFICIAL","N","TARDE",32,46,36,27,38,177
"M","SB11202040454577","No","ATLANTICO",8,"Estrato 2","Técnica o tecnológica completa","Educación profesional incompleta","Es vendedor o trabaja en atención al público","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","Entre 30 y 60 minutos","Más de 3 horas","Entre 11 y 20 horas","NO OFICIAL","N","MAÑANA",48,64,47,46,49,255
"F","SB11202040093557","No","META",50,"Estrato 3","Secundaria (Bachillerato) completa","Técnica o tecnológica completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","11 A 25 LIBROS","Entre 1 y 2 horas","Entre 30 y 60 minutos","Menos de 10 horas","NO OFICIAL",NA,"MAÑANA",76,71,77,72,71,369
"M","SB11202040254448","No","RISARALDA",66,"Estrato 2","Primaria completa","Primaria incompleta","Es vendedor o trabaja en atención al público","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","OFICIAL","N","TARDE",43,42,40,32,33,194
"M","SB11202040037869","No","BOGOTÁ",11,"Estrato 3","Secundaria (Bachillerato) completa","Educación profesional completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","26 A 100 LIBROS","30 minutos o menos","Más de 3 horas","Entre 11 y 20 horas","NO OFICIAL","N","COMPLETA",52,52,54,43,41,248
"M","SB11202040251090","No","NARIÑO",52,"Estrato 1","Primaria incompleta","Primaria incompleta","Trabaja en el hogar, no trabaja o estudia","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","30 minutos o menos","Menos de 10 horas","OFICIAL","N","MAÑANA",47,52,46,52,37,242
"F","SB11202040220508","No","NARIÑO",52,"Estrato 1","Primaria incompleta","Primaria incompleta","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","30 minutos o menos","0","OFICIAL",NA,"MAÑANA",53,48,61,53,45,265
